,CUSTOMER_ID,CHURN_PROBABILITY,CHURN_LABEL,CLIENT_TO_CONTACT,DISCOUNT
2203,C108850,0.9996092441349849,LEAVE,NO,0.0
3561,C114192,0.9993502603344734,LEAVE,NO,0.0
2604,C110467,0.9993254967992058,LEAVE,NO,0.0
190,C100748,0.9992720810705583,LEAVE,NO,0.0
1406,C105620,0.9992609552370004,LEAVE,NO,0.0
1176,C104658,0.9992303640733992,LEAVE,NO,0.0
2280,C109145,0.999170587696883,LEAVE,NO,0.0
1839,C107325,0.9991396079817016,LEAVE,NO,0.0
2814,C111211,0.9989831380899488,LEAVE,NO,0.0
3134,C112485,0.9989374664852528,LEAVE,NO,0.0
850,C103367,0.9987898200890074,LEAVE,NO,0.0
1239,C104915,0.9987481199711662,LEAVE,NO,0.0
1716,C106867,0.9987078668189435,LEAVE,NO,0.0
1488,C105947,0.9986902840889089,LEAVE,NO,0.0
583,C102277,0.9984751947683914,LEAVE,NO,0.0
2833,C111326,0.9984619757569312,LEAVE,NO,0.0
2899,C111584,0.9982361777032454,LEAVE,NO,0.0
3033,C112084,0.9982115559716466,LEAVE,NO,0.0
305,C101203,0.9981703164594967,LEAVE,NO,0.0
2210,C108886,0.9980129713042902,LEAVE,NO,0.0
761,C103000,0.9980026457830266,LEAVE,NO,0.0
2174,C108687,0.9979534643364176,LEAVE,NO,0.0
3371,C113441,0.9978378298953027,LEAVE,NO,0.0
1563,C106264,0.9978044200561997,LEAVE,NO,0.0
1831,C107296,0.997746083802391,LEAVE,NO,0.0
2298,C109248,0.9975133536013476,LEAVE,NO,0.0
1421,C105663,0.9974018185117,LEAVE,NO,0.0
3640,C114562,0.9973746982037555,LEAVE,NO,0.0
1073,C104230,0.9973467009777415,LEAVE,NO,0.0
2346,C109446,0.9972916536880668,LEAVE,NO,0.0
31,C100100,0.9971939234759252,LEAVE,NO,0.0
1989,C107928,0.9970534324695074,LEAVE,NO,0.0
877,C103449,0.9969818198574555,LEAVE,NO,0.0
1526,C106115,0.9969462062663267,LEAVE,NO,0.0
2907,C111608,0.9969335295263039,LEAVE,NO,0.0
3054,C112163,0.9968342302413408,LEAVE,NO,0.0
3276,C113048,0.9964323230036313,LEAVE,NO,0.0
353,C101395,0.9963576629365714,LEAVE,NO,0.0
3515,C114006,0.9962997675902668,LEAVE,NO,0.0
2526,C110155,0.9962854332931613,LEAVE,NO,0.0
2852,C111394,0.9961921097809533,LEAVE,NO,0.0
619,C102409,0.9961157404496009,LEAVE,NO,0.0
981,C103883,0.9960359518084183,LEAVE,YES,74.26
2982,C111885,0.9959992480037384,LEAVE,NO,0.0
1732,C106929,0.9959990901671596,LEAVE,NO,0.0
542,C102138,0.9959709209151509,LEAVE,YES,60.84
2177,C108691,0.9958267124367669,LEAVE,NO,0.0
1533,C106138,0.9956974829385767,LEAVE,NO,0.0
3940,C115771,0.9955595036343692,LEAVE,NO,0.0
48,C100167,0.995459764501533,LEAVE,NO,0.0
2850,C111391,0.9953634873028384,LEAVE,NO,0.0
3969,C115894,0.9951737002454968,LEAVE,NO,0.0
740,C102911,0.9951471684057662,LEAVE,NO,0.0
2073,C108253,0.9947820844585777,LEAVE,NO,0.0
3312,C113190,0.9945860352421234,LEAVE,NO,0.0
3672,C114696,0.994454126695929,LEAVE,NO,0.0
3602,C114387,0.9944100514522353,LEAVE,NO,0.0
490,C101917,0.9944080857578987,LEAVE,NO,0.0
3289,C113096,0.9941075793063114,LEAVE,NO,0.0
1359,C105395,0.9940153147639442,LEAVE,NO,0.0
2111,C108405,0.9939120848440106,LEAVE,NO,0.0
3271,C113027,0.9939114997618685,LEAVE,NO,0.0
767,C103018,0.9938261578164265,LEAVE,NO,0.0
374,C101473,0.9937417758073996,LEAVE,NO,0.0
1415,C105649,0.9936022800493951,LEAVE,YES,81.42
3373,C113453,0.993465846432054,LEAVE,NO,0.0
473,C101867,0.9933501451305065,LEAVE,NO,0.0
2150,C108587,0.9932582504436848,LEAVE,NO,0.0
317,C101264,0.9931591739474558,LEAVE,NO,0.0
3919,C115668,0.9931010862194172,LEAVE,NO,0.0
3424,C113659,0.9929991635351536,LEAVE,NO,0.0
3721,C114922,0.9929816140596167,LEAVE,NO,0.0
471,C101861,0.9928195654178169,LEAVE,NO,0.0
142,C100567,0.9926276451439978,LEAVE,NO,0.0
2686,C110771,0.9924304976700762,LEAVE,NO,0.0
1886,C107515,0.9920215783759716,LEAVE,NO,0.0
3610,C114410,0.9916413280756428,LEAVE,NO,0.0
1295,C105168,0.9915670907372148,LEAVE,NO,0.0
3221,C112831,0.9915169116048842,LEAVE,NO,0.0
51,C100173,0.9912267103937229,LEAVE,NO,0.0
3503,C113964,0.9910984910832481,LEAVE,NO,0.0
2462,C109841,0.9910606619338297,LEAVE,NO,0.0
1527,C106116,0.9910143832922116,LEAVE,NO,0.0
1430,C105710,0.9909647871749618,LEAVE,NO,0.0
1189,C104712,0.9909535600077075,LEAVE,NO,0.0
1241,C104923,0.9908583921826183,LEAVE,NO,0.0
3809,C115261,0.9906120747773828,LEAVE,NO,0.0
452,C101780,0.9904248844784695,LEAVE,NO,0.0
3537,C114100,0.9903556277448873,LEAVE,NO,0.0
253,C100989,0.9902182126359167,LEAVE,NO,0.0
3355,C113379,0.9899484915648512,LEAVE,NO,0.0
3590,C114323,0.9898973404234381,LEAVE,NO,0.0
3707,C114822,0.9896468839416754,LEAVE,NO,0.0
836,C103293,0.9895623257763296,LEAVE,YES,112.88
3388,C113501,0.9895617625667513,LEAVE,NO,0.0
2524,C110141,0.9895493915316801,LEAVE,YES,210.39999999999998
916,C103627,0.9894884515769673,LEAVE,NO,0.0
2708,C110851,0.9893769102140088,LEAVE,NO,0.0
3655,C114620,0.9893518103870865,LEAVE,NO,0.0
762,C103001,0.9892836616699471,LEAVE,NO,0.0
955,C103784,0.9892106776645286,LEAVE,NO,0.0
150,C100587,0.9891634159842366,LEAVE,NO,0.0
157,C100611,0.9889620556987899,LEAVE,NO,0.0
1174,C104648,0.9886384548057305,LEAVE,NO,0.0
354,C101403,0.988571759744167,LEAVE,NO,0.0
2136,C108554,0.9885510423951825,LEAVE,NO,0.0
3380,C113469,0.9884089501908241,LEAVE,NO,0.0
1863,C107426,0.9882248408187608,LEAVE,NO,0.0
2359,C109486,0.9881111263738703,LEAVE,NO,0.0
805,C103143,0.9880890394819247,LEAVE,NO,0.0
2078,C108263,0.9880497453797408,LEAVE,NO,0.0
2684,C110765,0.9878069838414102,LEAVE,YES,72.24
2222,C108932,0.987753114929208,LEAVE,NO,0.0
1380,C105486,0.9876926645419779,LEAVE,NO,0.0
1076,C104242,0.9873457799133128,LEAVE,NO,0.0
3588,C114303,0.9872300489429087,LEAVE,NO,0.0
2529,C110167,0.9871146668500412,LEAVE,NO,0.0
946,C103755,0.9868034215762281,LEAVE,NO,0.0
3050,C112154,0.9865622391395191,LEAVE,NO,0.0
3983,C115945,0.9865004318368672,LEAVE,NO,0.0
2940,C111740,0.9862971752615457,LEAVE,NO,0.0
1910,C107616,0.9862536800857914,LEAVE,NO,0.0
112,C100436,0.986217810500224,LEAVE,NO,0.0
3213,C112790,0.986143587188421,LEAVE,NO,0.0
1587,C106360,0.9861211411513944,LEAVE,NO,0.0
207,C100833,0.986057197066152,LEAVE,NO,0.0
1214,C104810,0.9860197678344985,LEAVE,NO,0.0
2931,C111708,0.9858291234031237,LEAVE,NO,0.0
3929,C115727,0.985770230165807,LEAVE,YES,57.199999999999996
2322,C109348,0.9853513569169278,LEAVE,YES,65.65
954,C103777,0.9853178373616668,LEAVE,NO,0.0
3509,C113980,0.9851646153920425,LEAVE,NO,0.0
2112,C108412,0.9850524505805474,LEAVE,NO,0.0
3482,C113876,0.9848553824916586,LEAVE,NO,0.0
1002,C103958,0.9846986827594999,LEAVE,NO,0.0
